video_id,link,caption,foil
video1,https://youtu.be/JG7p5YfCJqU,La scena si svolge di fianco ad una fontana,La scena si svolge di fianco ad un lago
video1,https://youtu.be/JG7p5YfCJqU,Sul bordo posteriore della fontana si erge un edificio.,Sul bordo posteriore della fontana si erge un muretto.
video2,https://youtu.be/MTN7eg55rJY,La fasciatura sulla zampa del cane è gialla.,La fasciatura sulla zampa del cane è bianca.
video2,https://youtu.be/MTN7eg55rJY,La persona sbriciola a terra una fetta biscottata.,La persona sbriciola a terra un biscotto.
video3,https://youtu.be/vN8VPMLqUfY,La borsa attaccata sotto ad uno degli ombrelloni in prima fila è arancione.,La borsa attaccatasotto ad uno degli ombrelloni in prima fila è blu.
video3,https://youtu.be/vN8VPMLqUfY,La facciata della roccia che cade a strapiombo sul mare è suddivisa in quattro aree orizzontali.,La facciata della roccia che cade a strapiombo sul mare è suddivisa in due aree orizzontali
video4,https://youtu.be/rDgnwRtQQjQ,Al centro del palco c'è una torretta.,Al centro del palco c'è un microfono.
video4,https://youtu.be/rDgnwRtQQjQ,Sulla parte anteriore del palco ci sono dei fiori.,Sulla parte anteriore del palco ci sono dei monitor.
video5,https://youtu.be/xEu1qeQ_iyA,L'uomo sta pitturando la barca.,L'uomo sta piturando una parete.
video5,https://youtu.be/xEu1qeQ_iyA,L'uomo sta pitturando la barca di blu.,L'uomo sta pitturando la barca di bianco.
video6,https://youtu.be/H5b9OrEf_Zw,Sull'asta delle macchine da scontro ci sono delle bandiere colorate.,Sull'asta delle macchine da scontro ci sono delle molle colorate.
video6,https://youtu.be/H5b9OrEf_Zw,Sulla pista ci sono delle macchine da scontro.,Sulla pista ci sono degli sciatori.
video7,https://youtu.be/V-e0C1Ps10g,Ci sono due fili verdi attaccati alla consolle del dj.,Ci sono due fili rossi attaccati alla consolle del dj.
video7,https://youtu.be/V-e0C1Ps10g,Molti dei ragazzi che ballano indossano degli occhiali da sole.,Molti dei ragazzi che ballano indossano un cappello.
video8,https://youtu.be/Sptb5qaJ-LE,I ballerini ballano per strada.,I ballerini ballano su una pista da ballo.
video8,https://youtu.be/Sptb5qaJ-LE,Il ragazzo che applaude ha una felpa di colore verde.,Il ragazzo che applaude ha una felpa di colore nero.
video9,https://youtu.be/yRZPnTM550E,L'uomo che ritira i biglietti ha una giacca bianca.,L'uomo che ritira i biglietti ha l'uniforme da lavoro.
video9,https://youtu.be/yRZPnTM550E,Per salire sulla giostra le persone danno il biglietto ad un uomo.,Per salire sulla giostra le persone danno il biglietto alla cassa.
video10,https://youtube.com/shorts/DpBpShsY8BY?feature=share,Sul pianoforte ci sono delle borse.,Sul pianoforte ci sono degli spartiti musicali.
video10,https://youtube.com/shorts/DpBpShsY8BY?feature=share,La bambina indossa dei pattini in casa.,La bambina indossa delle scarpe in casa.
video11,https://youtu.be/tsu_auvBch8,La bambina indossa una giubbotto giallo.,La bambina indossa una giubbotto rosa.
video11,https://youtu.be/tsu_auvBch8,La bambina è affiancata da tre persone.,La bambina è affiancata da una persona.
video12,https://youtu.be/T2SvRC1yjdc,I due uomini sono volontari della guardia cinofila.,I due uomini sono volontari della polizia.
video12,https://youtu.be/T2SvRC1yjdc,L'uomo con le mani alzate ha un t-shirt gialla.,L'uomo con le mani alzate ha un t-shirt nera.
video13,https://youtu.be/VPq7izlctb4,"L'uomo con i baffi che canta nel coro, ha un casco in mano.","L'uomo con i baffi che canta nel coro, ha uno spartito musicale in mano."
video13,https://youtu.be/VPq7izlctb4,"Tra le persone che compongono il coro e il chitarrista seduto, c'è una bicicletta.","Tra le persone che compongono il coro e il chitarrista seduto, c'è un microfono."
video14,https://youtu.be/b6Yl2Xjmjew,Il falconiere inginocchiato ha una maglia con cappuccio bianca.,Il falconiere inginocchiato ha una maglia con cappuccio nera.
video14,https://youtu.be/b6Yl2Xjmjew,La persona che regge il falco prima che spicchi in volo è una donna.,La persona che regge il falco prima che spicchi in volo è un uomo.
video15,https://youtu.be/CMXHuZxzi_M,Alcuni dei bambini hanno una spada.,Alcuni dei bambini hanno uno zainetto.
video15,https://youtu.be/CMXHuZxzi_M,"La signora asiatica con la bimba piccola in mezzo ai bambini che giocano, indossa una giacca rossa.","La signora asiatica con la bimba piccola in mezzo ai bambini che giocano, indossa una giacca bianca."
video16,https://youtu.be/NGC-xOzxGtc,Sul tavolo della cucina c'è una busta di pellet.,Sul tavolo della cucina c'è un piatto.
video16,https://youtu.be/NGC-xOzxGtc,Il ragazzo entra nella stanza con un motorino.,Il ragazzo entra nella stanza con uno zaino.
video17,https://youtu.be/p4TjcslDLZQ,Sul palco vengono premiate tre persone.,Sul palco vengono premiate due persone.
video17,https://youtu.be/p4TjcslDLZQ,Il ragazzo sul podio in seconda posizione indossa una tuta blu e nera.,Il ragazzo sul podio in seconda posizione indossa una medaglia.
video18,https://youtu.be/nGpY5mttIwM,Il tavolo in primo piano ha decorazioni rosse.,Il tavolo in primo piano ha decorazioni blu.
video18,https://youtu.be/nGpY5mttIwM,La donna con il microfono ha un vestito lungo giallo.,La donna con il microfono ha un vestito lungo rosso.
video19,https://youtu.be/H-SYvJQgjFk,I due uomini si sfidano usando due lance.,I due uomini si sfidano usando due spade.
video19,https://youtu.be/H-SYvJQgjFk,Un uomo sulla sinistra mette a terra uno scudo.,Un uomo sulla sinistra mette a terra uno zaino.
video20,https://youtube.com/shorts/33Awte67X_s?feature=share,Sullo sfondo c'è una torre.,Sullo sfondo c'è una montagna.
video20,https://youtube.com/shorts/33Awte67X_s?feature=share,Attorno alle persone in primo piano c'è l'erba.,Attorno alle persone in primo piano c'è molta gente.
video22,https://youtu.be/zcAXJyENtis,,
video22,https://youtu.be/zcAXJyENtis,,
video23,https://youtu.be/bTDSWVUCzG0,,
video23,https://youtu.be/bTDSWVUCzG0,,
video24,https://youtu.be/2OzGJV8jkQg,,
video24,https://youtu.be/2OzGJV8jkQg,,
video25,https://youtu.be/O72ucrMSeYU,,
video25,https://youtu.be/O72ucrMSeYU,,
video26,https://youtu.be/KC1ziU8r5L0,,
video26,https://youtu.be/KC1ziU8r5L0,,
video27,https://youtu.be/uMIKtqMI6SM,,
video27,https://youtu.be/uMIKtqMI6SM,,
video28,https://youtu.be/-gVIE-iCh3U,,
video28,https://youtu.be/-gVIE-iCh3U,,
video29,https://youtu.be/fBmd-xsM2cw,,
video29,https://youtu.be/fBmd-xsM2cw,,
video30,https://youtu.be/9SapuNbSGfs,,
video30,https://youtu.be/9SapuNbSGfs,,
video31,https://youtu.be/VA5-EFb9Gd8,,
video31,https://youtu.be/VA5-EFb9Gd8,,
video32,https://youtube.com/shorts/mAZy7UDmR8A?feature=share,,
video32,https://youtube.com/shorts/mAZy7UDmR8A?feature=share,,
video33,https://youtu.be/BqAsP6wMwuk,,
video33,https://youtu.be/BqAsP6wMwuk,,
video34,https://youtu.be/D_3Q1LUyACM,,
video34,https://youtu.be/D_3Q1LUyACM,,
video35,https://youtu.be/q4cZ_hqIghc,,
video35,https://youtu.be/q4cZ_hqIghc,,
video36,https://youtu.be/ya7r-xe7VO4,,
video36,https://youtu.be/ya7r-xe7VO4,,
video37,https://youtu.be/qFt1kX2lr_8,,
video37,https://youtu.be/qFt1kX2lr_8,,
video38,https://youtu.be/e_IkcUp72rs,,
video38,https://youtu.be/e_IkcUp72rs,,
video39,https://youtu.be/0Fu2htR_YLw,,
video39,https://youtu.be/0Fu2htR_YLw,,
video40,https://youtu.be/uqxVVZvQgTY,,
video40,https://youtu.be/uqxVVZvQgTY,,
video41,https://youtu.be/1fMiqlet_DQ,,
video41,https://youtu.be/1fMiqlet_DQ,,
video42,https://youtu.be/UixwC1TsRY0,,
video42,https://youtu.be/UixwC1TsRY0,,
video43,https://youtu.be/vMWf0shhszA,,
video43,https://youtu.be/vMWf0shhszA,,
video44,https://youtu.be/mfdM3YQtMQE,,
video44,https://youtu.be/mfdM3YQtMQE,,
video45,https://youtu.be/BmwnAYr97AY,,
video45,https://youtu.be/BmwnAYr97AY,,
video46,https://youtu.be/cvHjpXgl_gM,,
video46,https://youtu.be/cvHjpXgl_gM,,
video47,https://youtu.be/i0glVBcmrdw,,
video47,https://youtu.be/i0glVBcmrdw,,
video48,https://youtu.be/lUgjloHogQo,,
video48,https://youtu.be/lUgjloHogQo,,
video49,https://youtu.be/VPx32o9VinQ,,
video49,https://youtu.be/VPx32o9VinQ,,
video50,https://youtube.com/shorts/spvQGgEGOxw?feature=share,,
video50,https://youtube.com/shorts/spvQGgEGOxw?feature=share,,
video51,https://youtube.com/shorts/iKbtWPRniZk?feature=share,,
video51,https://youtube.com/shorts/iKbtWPRniZk?feature=share,,
video52,https://youtu.be/Wdcn9CeZ1hU,,
video52,https://youtu.be/Wdcn9CeZ1hU,,
video53,https://youtu.be/c44jqkmk4t4,,
video53,https://youtu.be/c44jqkmk4t4,,
video54,https://youtu.be/1ES0PTIgHzE,,
video54,https://youtu.be/1ES0PTIgHzE,,
video55,https://youtu.be/RNoRuFiQXbs,,
video55,https://youtu.be/RNoRuFiQXbs,,
video56,https://youtu.be/cJLBiWr2bxI,,
video56,https://youtu.be/cJLBiWr2bxI,,
video57,https://youtu.be/Uzg4r8w5Nmc,,
video57,https://youtu.be/Uzg4r8w5Nmc,,
video58,https://youtu.be/0G8EPwq7LM8,,
video58,https://youtu.be/0G8EPwq7LM8,,
video59,https://youtu.be/5tuyIdJM4dk,,
video59,https://youtu.be/5tuyIdJM4dk,,
video60,https://youtu.be/McXU14iCXqY,,
video60,https://youtu.be/McXU14iCXqY,,
video61,https://youtu.be/19XhDde24W4,,
video61,https://youtu.be/19XhDde24W4,,
video62,https://youtu.be/8wfPbxFF3r8,,
video62,https://youtu.be/8wfPbxFF3r8,,
video63,https://youtu.be/MULOaod5EsU,,
video63,https://youtu.be/MULOaod5EsU,,
video64,https://youtu.be/Ee1wwRilJL0,,
video64,https://youtu.be/Ee1wwRilJL0,,
video65,https://youtu.be/HSbZu9r39uo,,
video65,https://youtu.be/HSbZu9r39uo,,
video66,https://youtu.be/WVeCk_8_JXg,,
video66,https://youtu.be/WVeCk_8_JXg,,
video67,https://youtu.be/2betHI_y59c,,
video67,https://youtu.be/2betHI_y59c,,
video68,https://youtu.be/MqT8SitOx-I,,
video68,https://youtu.be/MqT8SitOx-I,,
video69,https://youtu.be/XEt02up2yys,,
video69,https://youtu.be/XEt02up2yys,,
video70,https://youtu.be/q_9MzDrm05M,,
video70,https://youtu.be/q_9MzDrm05M,,
video71,https://youtu.be/XwsQCAfKX5w,,
video71,https://youtu.be/XwsQCAfKX5w,,
video72,https://youtu.be/bww20234Xg4,,
video72,https://youtu.be/bww20234Xg4,,
video73,https://youtu.be/nXo2XLByd1s,,
video73,https://youtu.be/nXo2XLByd1s,,
video74,https://youtu.be/tHsQwTmA0bk,,
video74,https://youtu.be/tHsQwTmA0bk,,
video75,https://youtu.be/1BbADqa5DEo,,
video75,https://youtu.be/1BbADqa5DEo,,
video76,https://youtube.com/shorts/AvoVWd3ZjOo?feature=share,,
video76,https://youtube.com/shorts/AvoVWd3ZjOo?feature=share,,
video77,https://youtu.be/hWCkSAhyUYM,,
video77,https://youtu.be/hWCkSAhyUYM,,
video78,https://youtu.be/5xW1m5ZRjfQ,,
video78,https://youtu.be/5xW1m5ZRjfQ,,
video79,https://youtube.com/shorts/6eLrx3GU18Q?feature=share,,
video79,https://youtube.com/shorts/6eLrx3GU18Q?feature=share,,
video80,https://youtu.be/b1wRid4R4po,,
video80,https://youtu.be/b1wRid4R4po,,
video81,https://youtube.com/shorts/CxTBmwdTEkE?feature=share,,
video81,https://youtube.com/shorts/CxTBmwdTEkE?feature=share,,
video82,https://youtu.be/_FL5o5H_6BQ,,
video82,https://youtu.be/_FL5o5H_6BQ,,
video83,https://youtu.be/7aW_D7rF6bA,,
video83,https://youtu.be/7aW_D7rF6bA,,
video84,https://youtu.be/vdC6S-lyuiA,,
video84,https://youtu.be/vdC6S-lyuiA,,
video85,https://youtu.be/oudH679lVzU,,
video85,https://youtu.be/oudH679lVzU,,
video86,https://youtu.be/eR9-g_zctpE,,
video86,https://youtu.be/eR9-g_zctpE,,
video87,https://youtu.be/dGSUYHNNCAg,,
video87,https://youtu.be/dGSUYHNNCAg,,
video88,https://youtu.be/5oCybxvqUVM,,
video88,https://youtu.be/5oCybxvqUVM,,
video89,https://youtu.be/961xbpAsrNA,,
video89,https://youtu.be/961xbpAsrNA,,
video90,https://youtu.be/nSHM35xNZnI,,
video90,https://youtu.be/nSHM35xNZnI,,
video91,https://youtu.be/rKzuRSxHBcA,,
video91,https://youtu.be/rKzuRSxHBcA,,
video92,https://youtu.be/rIt3liCSdBw,,
video92,https://youtu.be/rIt3liCSdBw,,
video93,https://youtu.be/8ytESb6gmYw,,
video93,https://youtu.be/8ytESb6gmYw,,
video94,https://youtu.be/N-IOV_uRDGU,,
video94,https://youtu.be/N-IOV_uRDGU,,
video95,https://youtu.be/HbFKxaLo9kA,,
video95,https://youtu.be/HbFKxaLo9kA,,
video96,https://youtu.be/kZlK2xRm3LU,,
video96,https://youtu.be/kZlK2xRm3LU,,
video97,https://youtu.be/gJd0jwcv41s,,
video97,https://youtu.be/gJd0jwcv41s,,
video98,https://youtu.be/-yeZnfVDeAs,,
video98,https://youtu.be/-yeZnfVDeAs,,
video99,https://youtu.be/cfajwNoMqU8,,
video99,https://youtu.be/cfajwNoMqU8,,
video100,https://youtu.be/4fHfYO00w-c,,
video100,https://youtu.be/4fHfYO00w-c,,
